Company,"Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent","Company
Location",Rating,"Bean
Type","Bean
Origin",Flavour Rating
A. Morin,Agua Grande,1876,2016,63%,France,3.75, ,Sao Tome,Unpleasant
A. Morin,Kpime,1676,2015,70%,France,3, ,Togo,Satisfactory
A. Morin,Atsane,1676,2015,70%,France,3, ,Togo,Satisfactory
A. Morin,Akata,1680,2015,70%,France,3, ,Togo,Satisfactory
A. Morin,Quilla,1704,2015,70%,France,3, ,Peru,Satisfactory
A. Morin,Carenero,1315,2014,70%,France,3,Criollo,Venezuela,Satisfactory
A. Morin,Cuba,1315,2014,70%,France,3, ,Cuba,Satisfactory
A. Morin,Sur del Lago,1315,2014,70%,France,3,Criollo,Venezuela,Satisfactory
A. Morin,Puerto Cabello,1319,2014,70%,France,3.75,Criollo,Venezuela,Praiseworthy
A. Morin,Pablino,1319,2014,70%,France,4, ,Peru,Premium
A. Morin,Panama,1011,2013,70%,France,3, ,Panama,Satisfactory
A. Morin,Madagascar,1011,2013,70%,France,3,Criollo,Madagascar,Satisfactory
A. Morin,Brazil,1011,2013,70%,France,3, ,Brazil,Satisfactory
A. Morin,Equateur,1011,2013,70%,France,3.75, ,Ecuador,Praiseworthy
A. Morin,Colombie,1015,2013,70%,France,3, ,Colombia,Satisfactory
A. Morin,Birmanie,1015,2013,70%,France,3, ,Burma,Satisfactory
A. Morin,Papua New Guinea,1015,2013,70%,France,3, ,Papua New Guinea,Satisfactory
A. Morin,Chuao,1015,2013,70%,France,4,Trinitario,Venezuela,Premium
A. Morin,Piura,1019,2013,70%,France,3, ,Peru,Satisfactory
A. Morin,Chanchamayo Province,1019,2013,70%,France,3, ,Peru,Satisfactory
A. Morin,Chanchamayo Province,1019,2013,63%,France,4, ,Peru,Premium
A. Morin,Bolivia,797,2012,70%,France,3, ,Bolivia,Satisfactory
A. Morin,Peru,797,2012,63%,France,3.75, ,Peru,Praiseworthy
Acalli,"Chulucanas, El Platanal",1462,2015,70%,U.S.A.,3.75, ,Peru,Praiseworthy
Acalli,"Tumbes, Norandino",1470,2015,70%,U.S.A.,3.75,Criollo,Peru,Praiseworthy
Adi,Vanua Levu,705,2011,60%,Fiji,3,Trinitario,Fiji,Satisfactory
Adi,"Vanua Levu, Toto-A",705,2011,80%,Fiji,3,Trinitario,Fiji,Satisfactory
Adi,Vanua Levu,705,2011,88%,Fiji,3,Trinitario,Fiji,Satisfactory
Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72%,Fiji,3,Trinitario,Fiji,Satisfactory
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55%,Ecuador,3,Forastero (Arriba),Ecuador,Satisfactory
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70%,Ecuador,3,Forastero (Arriba),Ecuador,Satisfactory
Ah Cacao,Tabasco,316,2009,70%,Mexico,3,Criollo,Mexico,Satisfactory
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75%,Switzerland,3.75,Trinitario,Indonesia,Praiseworthy
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75%,Switzerland,3,Criollo,Madagascar,Satisfactory
Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75%,Switzerland,3,Forastero,Brazil,Satisfactory
Alain Ducasse,Trinite,1215,2014,65%,France,3,Trinitario,Trinidad,Satisfactory
Alain Ducasse,Vietnam,1215,2014,75%,France,3,Trinitario,Vietnam,Satisfactory
Alain Ducasse,Madagascar,1215,2014,75%,France,3,Trinitario,Madagascar,Satisfactory
Alain Ducasse,Chuao,1061,2013,75%,France,2,Trinitario,Venezuela,Dissapointing
Alain Ducasse,"Piura, Perou",1173,2013,75%,France,2, ,Peru,Dissapointing
Alexandre,"Winak Coop, Napo",1944,2017,70%,Netherlands,3,Forastero (Nacional),Ecuador,Satisfactory
